num_elements,num_buckets,approx_ops_base_2,approx_ops_base_e
20000,710000,710283.6351542871,710111.7738002035
20000,720000,720279.6694666526,720110.181388614
20000,730000,730275.8130712238,730108.6336158555
20000,740000,740272.0615585218,740107.1286788734
20000,750000,750268.4107723719,750105.6648896831
20000,760000,760264.8566705754,760104.2405451202
20000,770000,770261.3954035814,770102.8540137853
20000,780000,780258.0234031078,780101.50383239
20000,790000,790254.7372742514,790100.18860501
20000,800000,800251.533856841,800098.9070710073
20000,810000,810248.4099631761,810097.6578489296
20000,820000,820245.3626871099,820096.4397511708
20000,830000,830242.3893341142,830095.2517193276
20000,840000,840239.4870378751,840094.0924457546
20000,850000,850236.6535185517,850092.961136184
20000,860000,860233.8861611206,860091.8565925084
20000,870000,870231.1828347767,870090.7780359021
20000,880000,880228.5413510441,880089.7245687601
20000,890000,890225.9593954355,890088.6951097453
20000,900000,900223.4352034456,900087.6890728724
20000,910000,910220.9667594774,910086.705569557
20000,920000,920218.5523132079,920085.743927678
20000,930000,930216.1899788539,930084.8032935056
20000,940000,940213.8781372092,940083.8830361571
20000,950000,950211.6152510117,950082.9825652391
20000,960000,960209.3997470388,960082.1012151532
20000,970000,970207.2301550538,970081.2383859864
20000,980000,980205.1050764219,980080.3935140739
20000,990000,990203.0231064226,990079.5659960611
20000,1000000,1000200.9830181383,1000078.755374479
30000,10000,57435.23105227894,40422.11472728254
30000,20000,45418.23290155492,34904.90034271414
30000,30000,46889.56249083912,39274.45866304277
30000,40000,52520.59337125047,46550.805402689024
30000,50000,59903.09448644339,54994.03308940142
30000,60000,68172.04170925243,64003.68963895923
30000,70000,76947.13212194841,73325.30330912696
30000,80000,86036.8235246166,82834.8381919218
30000,90000,95334.75317778363,92465.39814758995
30000,100000,104777.35542859643,102178.03313281872
30000,110000,114324.4014856587,111948.66354185181
30000,120000,123949.23551336826,121761.66794189677
30000,130000,133633.51823853934,131606.50297202432
30000,140000,143364.2300768521,141475.81328913916
30000,150000,153131.87931197535,151364.32168935632
30000,160000,162929.3867857791,161268.14969901554
30000,170000,172751.36749092062,171184.3867158188
30000,180000,182593.65379279747,181110.80816836917
30000,190000,192452.9707042199,191045.68614195212
30000,200000,202326.70962543672,200987.65910223898
30000,210000,212212.7674438865,210935.64035187385
30000,220000,222109.43007858546,220888.7525412168
30000,230000,232015.28654079293,230846.2797538298
30000,240000,241929.16507342123,240807.63240627653
30000,250000,251850.08448224695,250772.32060680303
30000,260000,261777.2170384308,260739.93412144177
